Date,transactions,cheque_no,debit,credit,balance
10/15/2020,BY TRANSFER-INB Payment Transfer Withdrawal pSkzkRyGKd,"GRPT OUTB:
DE0M7ZIKEQ51
TRANSFER FROM
8102102670604
M/S PAYTM
ACCOUNT
0Vgig1raZH",2365.51,517.0,7661.71
02/10/2020,TO TRANSFER-INB Payment Transfer Deposit Withdrawal KcVYBjNwzM,"GRPT INB:
D9XE7X6FWD01
TRANSFER FROM
4518238537456
IRCTC POOL
COMMISSION A/C
zv1HdxGSFJ",1324.0,670.59,6566.68
08/09/2020,TO TRANSFER-INB Deposit Transfer Payment jv3mZq8gD1,"GRPT INB:
VAZU5P6YTQ46
TRANSFER FROM
9969279503731
M/S PAYTM
ACCOUNT
FNKJSfXTkf",1788.48,1191.75,7254.0
08/21/2020,TO TRANSFER-INB Withdrawal Transfer Deposit Payment jNE47UhcWa,"GRPT OUTB:
94XBO0AJ6C58
TRANSFER TO
1921110768468
M/S PAYTM
ACCOUNT
0AOVkAXd3H",1567.6,1570.25,7778.09
06/16/2020,BY TRANSFER-INB Transfer Deposit Payment Tp5XtH0ypw,"GRPT OUTB:
GGYUIDEM3191
TRANSFER TO
9629293452823
IRCTC POOL
ACCOUNT
3efWTWpjE5",376.54,2105.32,6156.88
10/28/2020,TO TRANSFER-INB Deposit Transfer Payment Withdrawal RD1DyRGa8b,"GRPT INB:
VHEHR0NDVY42
TRANSFER TO
7292728357536
M/S PAYTM
COMMISSION A/C
yedKE82GvI",2135.65,2629.85,2809.01
11/17/2020,TO TRANSFER-INB Transfer Payment Deposit Withdrawal fMVxNLopCD,"GRPT INB:
SY1E3WIORQ16
TRANSFER FROM
0882566538156
IRCTC POOL
COMMISSION A/C
xmAaR24uxb",1462.5,534.11,7564.19
09/28/2020,BY TRANSFER-INB Transfer Payment Deposit Withdrawal JEHCIKm3cC,"GRPT INB:
XMGG697Z1N39
TRANSFER FROM
2160131369498
M/S PAYTM
ACCOUNT
Lt39kukCmu",2834.76,573.54,7073.06
08/26/2020,BY TRANSFER-INB Withdrawal Deposit Transfer Payment SiVpkRtVxF,"GRPT INB:
CX8E9Y1WO353
TRANSFER TO
9282301587673
IRCTC POOL
ACCOUNT
0vBSBG53xd",769.46,1796.98,1890.78
10/23/2020,TO TRANSFER-INB Payment Deposit Withdrawal Transfer HJA9fPBnQX,"GRPT INB:
A2P9X4JTUW90
TRANSFER FROM
7127157843223
M/S PAYTM
COMMISSION A/C
oQWpmCyZz1",1245.66,2502.79,915.47
04/03/2020,TO TRANSFER-INB Deposit Transfer Payment Withdrawal E58HmoY5nE,"GRPT OUTB:
VJNTLFWPQC96
TRANSFER FROM
3299276386439
IRCTC POOL
COMMISSION A/C
osHbwwU5S4",1022.75,2386.98,7626.22
11/22/2020,BY TRANSFER-INB Transfer Payment Withdrawal Deposit xDkUdqMGjr,"GRPT OUTB:
NAOBKXB1HC68
TRANSFER FROM
4677503814210
IRCTC POOL
ACCOUNT
PuT2VIq65m",2541.95,2405.39,5580.78
01/28/2020,TO TRANSFER-INB Deposit Transfer Payment Withdrawal 61zk7ojTGX,"GRPT OUTB:
K9K1E1R3PX06
TRANSFER TO
6090064861061
M/S PAYTM
COMMISSION A/C
O9JV99uNoi",1883.4,751.71,1379.76
08/24/2020,TO TRANSFER-INB Deposit Transfer Withdrawal Payment i9r1EYRxCP,"GRPT OUTB:
FYDO4CTOYD20
TRANSFER FROM
7665315863360
M/S PAYTM
COMMISSION A/C
dGFmKvCF9j",2206.07,1721.97,6143.51
01/28/2020,BY TRANSFER-INB Deposit Transfer Payment Withdrawal 9IoiSsjz1O,"GRPT INB:
135SKR62LQ09
TRANSFER TO
4921794420625
M/S PAYTM
ACCOUNT
h0FXujzke9",251.62,1900.96,7528.75
